offense_text,LONGITUDE,LATITUDE
assault w/dangerous weapon,-77.02538826,38.94133373
assault w/dangerous weapon,-76.92911864,38.90606543
robbery,-77.02726439,38.93071252
assault w/dangerous weapon,-77.00483735,38.83373132
assault w/dangerous weapon,-77.03266453,38.96160954
assault w/dangerous weapon,-76.9326284,38.876475
robbery,-76.99889319,38.90646528
robbery,-77.00502936,38.94347134
robbery,-77.03233667,38.92562153
homicide,-76.99791268,38.92450895
robbery,-76.94948171,38.90246366
assault w/dangerous weapon,-77.00277605,38.84223537
assault w/dangerous weapon,-76.92418565,38.89380195
assault w/dangerous weapon,-76.99077403,38.83729841
robbery,-76.99191531,38.82852425
assault w/dangerous weapon,-76.93927414,38.88097383
robbery,-76.94562634,38.89366076
assault w/dangerous weapon,-76.91298346,38.89196545
robbery,-77.0156789,38.90251857
homicide,-77.02346402,38.91259761
robbery,-76.96174257,38.86983996
assault w/dangerous weapon,-76.97520165,38.90347188
homicide,-76.93562988,38.88354828
robbery,-76.97409487,38.87178917
assault w/dangerous weapon,-76.92909129,38.88718388
assault w/dangerous weapon,-76.9326284,38.876475
robbery,-76.97899407,38.90529231
assault w/dangerous weapon,-76.92307891,38.89392735
robbery,-76.99153349,38.84342421
robbery,-76.98609192,38.86694469
assault w/dangerous weapon,-76.99419509,38.83488436
robbery,-77.01012971,38.95603755
robbery,-76.98831033,38.90047414
robbery,-76.98856275,38.90801416
assault w/dangerous weapon,-76.98943417,38.86273811
assault w/dangerous weapon,-76.99900825,38.92370723
robbery,-77.02043412,38.8812761
robbery,-77.0052091,38.87752127
assault w/dangerous weapon,-76.94989663,38.91903919
assault w/dangerous weapon,-77.00004608,38.84187506
robbery,-77.02970691,38.95238587
robbery,-76.99898548,38.90251061
robbery,-77.0403099,38.91298037
robbery,-76.97725678,38.89403153
robbery,-77.00723172,38.82124546
assault w/dangerous weapon,-76.97438816,38.8573037
assault w/dangerous weapon,-76.92487479,38.88522642
assault w/dangerous weapon,-76.97718375,38.90612975
robbery,-77.02970794,38.92718067
assault w/dangerous weapon,-76.97761069,38.90496775
robbery,-76.94897608,38.86796133
assault w/dangerous weapon,-76.98994471,38.91916661
robbery,-77.00133803,38.94074193
robbery,-76.9382779,38.90017916
assault w/dangerous weapon,-77.02969931,38.96183554
robbery,-77.02704925,38.9108312
assault w/dangerous weapon,-77.02255931,38.93213684
assault w/dangerous weapon,-77.01016873,38.82519095
homicide,-76.97431952,38.85593441
robbery,-77.02754595,38.91319127
robbery,-76.98261517,38.90127518
robbery,-77.03087548,38.93351321
robbery,-77.00004613,38.92558096
assault w/dangerous weapon,-76.9669146,38.92374759
robbery,-77.03540706,38.93124183
robbery,-77.04295211,38.93506783
robbery,-76.98269359,38.86318773
assault w/dangerous weapon,-76.97222341,38.85407819
assault w/dangerous weapon,-76.92923379,38.89457984
robbery,-76.99204051,38.84181173
assault w/dangerous weapon,-76.91570856,38.8879407
assault w/dangerous weapon,-76.92983228,38.88380618
robbery,-76.98551085,38.89119521
robbery,-76.99930883,38.84582977
robbery,-76.98776638,38.91285156
homicide,-76.99387355,38.95800163
homicide,-77.00889024,38.82359656
robbery,-77.00130309,38.92236499
homicide,-77.03540706,38.93124183
assault w/dangerous weapon,-76.94777692,38.90049008
robbery,-76.98012903,38.84557584
homicide,-76.97267438,38.84972723
assault w/dangerous weapon,-77.02540241,38.94865746
robbery,-77.00282192,38.8370465
homicide,-76.97891999,38.84388204
assault w/dangerous weapon,-77.01367428,38.90963542
assault w/dangerous weapon,-77.01885199,38.95646887
robbery,-76.9984679,38.84633423
robbery,-76.97218085,38.90414682
robbery,-76.97398264,38.86352843
robbery,-76.99031358,38.92014854
assault w/dangerous weapon,-77.03046565,38.94611591
assault w/dangerous weapon,-76.9496257,38.8944733
assault w/dangerous weapon,-76.97841945,38.8992476
robbery,-76.9790169,38.86688959
assault w/dangerous weapon,-77.01392062,38.93121934
assault w/dangerous weapon,-76.98781473,38.8323615
assault w/dangerous weapon,-76.940672,38.9047026
assault w/dangerous weapon,-76.98960878,38.92963424
robbery,-76.98843313,38.85417101
robbery,-77.00900653,38.83255997
assault w/dangerous weapon,-77.0324757,38.92704481
assault w/dangerous weapon,-76.97222341,38.85407819
homicide,-76.9300193,38.89289575
robbery,-76.97804838,38.90631909
robbery,-77.00438333,38.94250748
robbery,-76.99154065,38.88026864
assault w/dangerous weapon,-76.99387355,38.95800163
robbery,-77.03476052,38.92985474
robbery,-77.02041919,38.90963444
robbery,-77.03233667,38.92562153
homicide,-76.93398253,38.88268255
robbery,-76.95607333,38.88817905
robbery,-76.97809552,38.86543005
robbery,-76.95448444,38.88546692
assault w/dangerous weapon,-76.97327806,38.89891322
assault w/dangerous weapon,-77.00012671,38.84305517
robbery,-76.98201546,38.90220295
assault w/dangerous weapon,-76.915043,38.89513791
homicide,-76.99710935,38.8277858
robbery,-76.98843313,38.85417101
robbery,-76.9477196,38.88432903
robbery,-77.08962273,38.9479052
robbery,-76.94765293,38.89665246
robbery,-76.99048577,38.92602198
robbery,-77.02973363,38.93345945
assault w/dangerous weapon,-76.94720947,38.90396705
assault w/dangerous weapon,-76.93480881,38.91179805
assault w/dangerous weapon,-77.05329949,38.90622792
assault w/dangerous weapon,-77.01521252,38.87797081
robbery,-76.95082485,38.86057522
robbery,-76.97409487,38.87178917
robbery,-76.97064046,38.86527527
assault w/dangerous weapon,-76.99723535,38.84528923
robbery,-76.94889426,38.8856718
robbery,-77.02825123,38.94718846
homicide,-76.99047371,38.8436133
robbery,-76.9673089,38.91892825
robbery,-76.96458639,38.85155377
assault w/dangerous weapon,-76.93080548,38.87859991
robbery,-77.02809053,38.91993838
assault w/dangerous weapon,-76.99488622,38.83389346
assault w/dangerous weapon,-77.03273296,38.93474684
assault w/dangerous weapon,-76.93990737,38.88175789
homicide,-76.98720464,38.89478074
