GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2012 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2012 inflation-adjusted dollars)
0500000US11001,11001,"District of Columbia, District of Columbia",64267,977
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",134712,31202
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",-,**
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",141603,20984
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",105500,27494
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",195938,73545
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",80900,15573
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",108182,23772
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",120045,13869
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",82379,9172
1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",64113,3200
1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",120313,9152
1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",115230,25179
1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",221771,33469
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",184583,34930
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",161450,12052
1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",91455,15004
1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",121250,16339
1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",108125,16043
1400000US11001001301,11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",83594,21634
1400000US11001001302,11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",84758,13121
1400000US11001001401,11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",124500,41087
1400000US11001001402,11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",94444,20599
1400000US11001001500,11001001500,"Census Tract 15, District of Columbia, District of Columbia",193233,23180
1400000US11001001600,11001001600,"Census Tract 16, District of Columbia, District of Columbia",130786,22444
1400000US11001001702,11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",98981,18456
1400000US11001001803,11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",42206,9123
1400000US11001001804,11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",38597,7352
1400000US11001001901,11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",64279,17005
1400000US11001001902,11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",66976,25378
1400000US11001002001,11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",47862,6012
1400000US11001002002,11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",57821,6250
1400000US11001002101,11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",55705,10772
1400000US11001002102,11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",45385,8215
1400000US11001002201,11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",66071,10918
1400000US11001002202,11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",42661,9084
1400000US11001002301,11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",65729,24631
