OBJECTID,TRACT,GEO,GEOID2,GEO_display_label,Population,Income,Home_value,No_car_percent,Bachelor_or_higher,Employment_percent,Marital_percent,Veterans_percent
11,100,1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",5170,168477,1048200,0.181,0.9129,0.754,0.489,0.082
12,201,1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",3682,,,,1,0.393,0.01,
13,202,1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",4473,162981,1195300,0.168,0.9264,0.641,0.305,0.035
14,300,1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",6374,133008,893000,0.16,0.8909,0.794,0.313,0.021
15,400,1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",1489,143229,1223700,0.12,0.7906,0.617,0.497,0.044
16,501,1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",3632,109081,675400,0.236,0.9208,0.834,0.453,0.037
33,502,1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",3296,129779,978900,0.175,0.8705,0.817,0.381,0.044
83,600,1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",4998,221103,949200,0.146,0.9081,0.725,0.49,0.05
84,701,1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",5643,89889,451800,0.181,0.8699,0.627,0.403,0.057
85,702,1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",3318,71671,280900,0.422,0.7404,0.868,0.229,0.016
86,801,1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",6267,148456,774000,0.043,0.8651,0.635,0.415,0.035
87,802,1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",3476,99808,983600,0.035,0.8794,0.719,0.413,0.05
88,901,1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",7799,242208,1450400,0.006,0.8425,0.51,0.366,0.041
17,902,1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",2584,205469,1193500,0.006,0.8675,0.7,0.618,0.033
18,1001,1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",7853,164180,920500,0.035,0.8949,0.672,0.576,0.05
19,1002,1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",3512,99167,420600,0.169,0.8063,0.77,0.321,0.023
27,1100,1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",4947,154156,945400,0.087,0.8677,0.711,0.565,0.063
28,1200,1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",5031,125179,860500,0.273,0.8618,0.817,0.415,0.056
29,1301,1400000US11001001301,11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",4151,134282,1272300,0.209,0.9205,0.808,0.501,0.047
30,1302,1400000US11001001302,11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",7563,113300,402600,0.196,0.888,0.802,0.325,0.042
31,1401,1400000US11001001401,11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",3334,120526,1062900,0.151,0.9135,0.733,0.578,0.047
32,1402,1400000US11001001402,11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",3375,111361,834200,0.117,0.7967,0.657,0.467,0.033
8,1500,1400000US11001001500,11001001500,"Census Tract 15, District of Columbia, District of Columbia",6077,205159,1024200,,0.8634,0.609,0.606,0.103
9,1600,1400000US11001001600,11001001600,"Census Tract 16, District of Columbia, District of Columbia",4699,169250,806100,0.012,0.8029,0.668,0.494,0.071
10,1702,1400000US11001001702,11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",3217,91711,443500,0.08,0.6431,0.77,0.451,0.032
34,1803,1400000US11001001803,11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",4176,51182,568200,0.155,0.3078,0.75,0.432,0.054
35,1804,1400000US11001001804,11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",5668,42579,454700,0.152,0.2808,0.588,0.366,0.061
36,1901,1400000US11001001901,11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",4065,82963,463100,0.087,0.4838,0.67,0.332,0.071
108,1902,1400000US11001001902,11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",2494,89583,530400,0.048,0.3998,0.644,0.278,0.071
109,2001,1400000US11001002001,11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",3150,63060,756400,0.208,0.4025,0.643,0.392,0.063
110,2002,1400000US11001002002,11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",4202,87256,590200,0.056,0.4779,0.748,0.448,0.069
111,2101,1400000US11001002101,11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",4819,54359,418300,0.291,0.2694,0.693,0.316,0.053
