,OBJECTID,TRACT,GEO,GEOID2,GEO_display_label,Population,Income,Home_value,No_car_percent,Bachelor_or_higher,Employment_percent,Marital_percent,Veterans_percent,Crime_count
0,11,100,1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",5170,168477.0,1048200.0,0.18100000000000002,0.9129,0.754,0.489,0.08199999999999999,1.0
1,12,201,1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",3682,,,,1.0,0.39299999999999996,0.01,,
2,13,202,1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",4473,162981.0,1195300.0,0.168,0.9264,0.6409999999999999,0.305,0.035,4.0
3,14,300,1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",6374,133008.0,893000.0,0.16,0.8909,0.794,0.313,0.021,2.0
4,15,400,1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",1489,143229.0,1223700.0,0.12,0.7906,0.617,0.49700000000000005,0.044000000000000004,
5,16,501,1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",3632,109081.0,675400.0,0.23600000000000002,0.9208,0.8340000000000001,0.45299999999999996,0.037000000000000005,2.0
6,33,502,1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",3296,129779.0,978900.0,0.175,0.8705,0.8170000000000001,0.381,0.044000000000000004,2.0
7,83,600,1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",4998,221103.0,949200.0,0.146,0.9081,0.725,0.49,0.05,1.0
8,84,701,1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",5643,89889.0,451800.0,0.18100000000000002,0.8699,0.627,0.40299999999999997,0.057,
9,85,702,1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",3318,71671.0,280900.0,0.42200000000000004,0.7404,0.868,0.22899999999999998,0.016,
10,86,801,1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",6267,148456.0,774000.0,0.043,0.8651,0.635,0.415,0.035,1.0
